[(-6-2*r5), (5/2+3/2*r5), (15/2+7/2*r5), 1]
[(9/2+5/2*r5), (1+1*r5), (17/2+7/2*r5), 1]
[(5+3*r5), (3+1*r5), (-7-3*r5), (3+1*r5)]
[(-9/2-5/2*r5), (2+1*r5), (-5-3*r5), (-11/2-5/2*r5)]
[1, (4+1*r5), (9+4*r5), (2+1*r5)]
[(9+4*r5), (1+1*r5), (-5/2-1/2*r5), (-5/2-3/2*r5)]
[(-5/2-3/2*r5), (4+1*r5), (15/2+7/2*r5), (4+2*r5)]
[(-1-1*r5), (-9/2-3/2*r5), (-13/2-5/2*r5), (6+3*r5)]
[(-4-1*r5), (-6-3*r5), (-6-3*r5), (-2-1*r5)]
[(9/2+3/2*r5), (-3-2*r5), (15/2+7/2*r5), (-3-1*r5)]
[(3+1*r5), (3/2+1/2*r5), (17/2+9/2*r5), -1]
[(-3-1*r5), (3+2*r5), (9/2+3/2*r5), (-15/2-7/2*r5)]
[(2+1*r5), 1, (-9-4*r5), (-4-1*r5)]
[(6+3*r5), (6+3*r5), (-2-1*r5), (4+1*r5)]
[(9/2+5/2*r5), (-5/2-3/2*r5), (-8-3*r5), (3+1*r5)]
[(3/2+1/2*r5), (2+1*r5), (-17/2-9/2*r5), (1+1*r5)]
[(3/2+1/2*r5), (-3-1*r5), 1, (-17/2-9/2*r5)]
[(7/2+3/2*r5), (-13/2-7/2*r5), (3+2*r5), (4+2*r5)]
[(-3-1*r5), (7+3*r5), (-5-3*r5), (-3-1*r5)]
[(19/2+7/2*r5), 1, (-4-2*r5), (-3/2-1/2*r5)]
[(3/2+1/2*r5), (-19/2-7/2*r5), (-4-2*r5), -1]
[(8+3*r5), -1, 1, (6+3*r5)]
[(-11/2-5/2*r5), (-5/2-1/2*r5), (-3-1*r5), (-8-3*r5)]
[(-13/2-5/2*r5), (1+1*r5), (9/2+3/2*r5), (-6-3*r5)]
[(-13/2-5/2*r5), (4+1*r5), (-7-3*r5), (3/2+1/2*r5)]
[(-3-2*r5), (5+2*r5), (2+1*r5), (-8-3*r5)]
[(3+2*r5), (-9/2-3/2*r5), (-3-1*r5), (15/2+7/2*r5)]
[(9/2+3/2*r5), (-2-1*r5), (-19/2-7/2*r5), 0]
[(-5-3*r5), (3/2+1/2*r5), (13/2+5/2*r5), (-5-2*r5)]
[0, (13/2+7/2*r5), (5/2+1/2*r5), (-6-3*r5)]
[(-7-3*r5), (-9/2-5/2*r5), (-3-2*r5), (-5/2-3/2*r5)]
[(13/2+5/2*r5), -1, (-3-1*r5), (-13/2-7/2*r5)]
[(-13/2-5/2*r5), (-9/2-3/2*r5), (-6-3*r5), (-1-1*r5)]
[(15/2+7/2*r5), 1, (6+2*r5), (5/2+3/2*r5)]
[(-5/2-3/2*r5), (8+3*r5), (9/2+5/2*r5), (-3-1*r5)]
[(-3-1*r5), (8+3*r5), (5/2+3/2*r5), (9/2+5/2*r5)]
[(9+4*r5), (3/2+3/2*r5), (-3/2-1/2*r5), (3+1*r5)]
[(5/2+3/2*r5), (8+3*r5), (-9/2-5/2*r5), (-3-1*r5)]
[(3+2*r5), (-13/2-7/2*r5), (4+2*r5), (7/2+3/2*r5)]
[1, 1, (9+4*r5), (3+2*r5)]
[(-6-3*r5), (-13/2-7/2*r5), 0, (-5/2-1/2*r5)]
[(-4-1*r5), (-9-4*r5), -1, (-2-1*r5)]
[(-7/2-3/2*r5), (9+4*r5), -2, (3/2+1/2*r5)]
[(-6-2*r5), (3/2+1/2*r5), (-7/2-3/2*r5), (-8-3*r5)]
[(4+2*r5), (15/2+7/2*r5), (4+1*r5), (-5/2-3/2*r5)]
[(4+1*r5), (3/2+1/2*r5), (7+3*r5), (13/2+5/2*r5)]
[(8+3*r5), -1, -1, (6+3*r5)]
[(6+2*r5), (13/2+5/2*r5), -1, (11/2+5/2*r5)]
[(-9-4*r5), (3+2*r5), 1, -1]
[(5/2+3/2*r5), (-19/2-7/2*r5), (-3-1*r5), (2+1*r5)]
[(5/2+1/2*r5), (5/2+3/2*r5), (-9-4*r5), (1+1*r5)]
[1, -1, (-8-3*r5), (6+3*r5)]
[(-4-1*r5), (9+4*r5), -1, (-2-1*r5)]
[(11/2+5/2*r5), -1, (13/2+5/2*r5), (-6-2*r5)]
[(-3-1*r5), (-3/2-1/2*r5), (3/2+3/2*r5), (9+4*r5)]
[(5+3*r5), (-9/2-5/2*r5), (-2-1*r5), (-11/2-5/2*r5)]
[(-5-3*r5), (7+3*r5), (-3-1*r5), (3+1*r5)]
[(3+2*r5), (-4-2*r5), (-7/2-3/2*r5), (-13/2-7/2*r5)]
[(-6-3*r5), (13/2+7/2*r5), 0, (5/2+1/2*r5)]
[(13/2+5/2*r5), (-3-1*r5), (-13/2-7/2*r5), -1]
[(-3/2-1/2*r5), (6+2*r5), (-8-3*r5), (-7/2-3/2*r5)]
[(3+1*r5), (5/2+3/2*r5), (19/2+7/2*r5), (-2-1*r5)]
[-1, (-9-4*r5), 1, (-3-2*r5)]
[(3/2+1/2*r5), (-13/2-5/2*r5), (7+3*r5), (4+1*r5)]
[1, (-3/2-1/2*r5), (-3-1*r5), (17/2+9/2*r5)]
[(5+2*r5), (-3-2*r5), (-8-3*r5), (2+1*r5)]
[(-6-3*r5), (-4-1*r5), (6+3*r5), (-2-1*r5)]
[(9/2+5/2*r5), (5+3*r5), (-11/2-5/2*r5), (2+1*r5)]
[(3+1*r5), (7+3*r5), (5+3*r5), (3+1*r5)]
[(19/2+7/2*r5), (-3/2-1/2*r5), 1, (4+2*r5)]
[-1, (-6-3*r5), (8+3*r5), -1]
[(8+3*r5), (-9/2-5/2*r5), (-5/2-3/2*r5), (3+1*r5)]
[(5/2+3/2*r5), (-15/2-7/2*r5), (6+2*r5), 1]
[(17/2+9/2*r5), 1, 0, (5/2+3/2*r5)]
[(4+1*r5), (-2-1*r5), (6+3*r5), (6+3*r5)]
[(7+3*r5), (4+2*r5), (1+1*r5), (-6-2*r5)]
[(13/2+5/2*r5), (-6-3*r5), (1+1*r5), (9/2+3/2*r5)]
[(-7-3*r5), (-6-2*r5), (-4-2*r5), (1+1*r5)]
[0, (-9/2-3/2*r5), (19/2+7/2*r5), (2+1*r5)]
[0, (-3/2-3/2*r5), (5+2*r5), (-17/2-7/2*r5)]
[(9/2+5/2*r5), (-1-1*r5), (-17/2-7/2*r5), 1]
[-1, (-9-4*r5), -1, (-3-2*r5)]
[(5/2+3/2*r5), (-4-2*r5), (4+1*r5), (-15/2-7/2*r5)]
[(3+1*r5), (7/2+3/2*r5), (-4-1*r5), (-17/2-7/2*r5)]
[1, (13/2+5/2*r5), (13/2+7/2*r5), (-3-1*r5)]
[(-5/2-1/2*r5), (6+3*r5), 0, (13/2+7/2*r5)]
[(3+2*r5), (-5-2*r5), (2+1*r5), (8+3*r5)]
[(19/2+7/2*r5), (-3/2-1/2*r5), -1, (4+2*r5)]
[(-11/2-5/2*r5), 2, (-2-1*r5), (-15/2-7/2*r5)]
[(-5-3*r5), (-3/2-1/2*r5), (-15/2-7/2*r5), -1]
[(-8-3*r5), (3/2+1/2*r5), (-6-2*r5), (7/2+3/2*r5)]
[(-13/2-5/2*r5), (13/2+7/2*r5), -1, (3+1*r5)]
[2, (15/2+7/2*r5), (2+1*r5), (-11/2-5/2*r5)]
[-2, (-15/2-7/2*r5), (2+1*r5), (-11/2-5/2*r5)]
[(2+1*r5), (-3-2*r5), (5+2*r5), (8+3*r5)]
[(-19/2-7/2*r5), (2+1*r5), 0, (9/2+3/2*r5)]
[(-3/2-1/2*r5), -1, (-17/2-9/2*r5), (-3-1*r5)]
[(-6-3*r5), (-5-3*r5), (-7/2-3/2*r5), (5/2+3/2*r5)]
[(-3/2-1/2*r5), (-19/2-7/2*r5), (-4-2*r5), 1]
[0, (6+3*r5), (-13/2-7/2*r5), (-5/2-1/2*r5)]
[(5/2+3/2*r5), (8+3*r5), (9/2+5/2*r5), (3+1*r5)]
[(3+1*r5), (5+3*r5), (-3-1*r5), (-7-3*r5)]
[(5/2+3/2*r5), (3+1*r5), (2+1*r5), (19/2+7/2*r5)]
[(8+3*r5), -1, (6+3*r5), -1]
[(-2-1*r5), (4+1*r5), (-6-3*r5), (6+3*r5)]
[(-9/2-5/2*r5), (7+3*r5), (5/2+3/2*r5), (3+2*r5)]
[(4+2*r5), (-5/2-3/2*r5), (-15/2-7/2*r5), (-4-1*r5)]
[2, (-3/2-1/2*r5), (-7/2-3/2*r5), (9+4*r5)]
[(-5/2-3/2*r5), (2+1*r5), (-19/2-7/2*r5), (3+1*r5)]
[1, (-3/2-1/2*r5), (-5-3*r5), (15/2+7/2*r5)]
[(5/2+3/2*r5), (9/2+5/2*r5), (3+1*r5), (8+3*r5)]
[(-11/2-5/2*r5), 1, (-13/2-5/2*r5), (-6-2*r5)]
[(7+3*r5), (-6-2*r5), (-4-2*r5), (-1-1*r5)]
[(3+1*r5), (19/2+7/2*r5), (2+1*r5), (5/2+3/2*r5)]
[(-7-3*r5), (3+1*r5), (-3-1*r5), (-5-3*r5)]
[(-4-2*r5), 1, (-3/2-1/2*r5), (19/2+7/2*r5)]
[1, (1+1*r5), (9/2+5/2*r5), (-17/2-7/2*r5)]
[(-1-1*r5), -1, (17/2+7/2*r5), (-9/2-5/2*r5)]
[(3+1*r5), (-3-1*r5), (-5-3*r5), (-7-3*r5)]
[-2, (15/2+7/2*r5), (2+1*r5), (-11/2-5/2*r5)]
[-1, (-6-2*r5), (-13/2-5/2*r5), (11/2+5/2*r5)]
[(-1-1*r5), (4+2*r5), (6+2*r5), (-7-3*r5)]
[(-9/2-3/2*r5), (-13/2-5/2*r5), (1+1*r5), (-6-3*r5)]
[1, (17/2+9/2*r5), (-3/2-1/2*r5), (3+1*r5)]
[(7/2+3/2*r5), (9+4*r5), -2, (-3/2-1/2*r5)]
[(5/2+3/2*r5), 0, -1, (17/2+9/2*r5)]
[(-6-2*r5), (15/2+7/2*r5), -1, (-5/2-3/2*r5)]
[(-5-3*r5), 1, (-3/2-1/2*r5), (-15/2-7/2*r5)]
[(2+1*r5), (19/2+7/2*r5), (-5/2-3/2*r5), (-3-1*r5)]
[(-9/2-5/2*r5), (-5/2-3/2*r5), (8+3*r5), (3+1*r5)]
[(13/2+7/2*r5), (4+2*r5), (-3-2*r5), (-7/2-3/2*r5)]
[(-15/2-7/2*r5), 2, (-11/2-5/2*r5), (2+1*r5)]
[2, (7+3*r5), 0, (-7-3*r5)]
[(-1-1*r5), (-5/2-3/2*r5), (5/2+1/2*r5), (9+4*r5)]
[(3/2+1/2*r5), (2+1*r5), (17/2+9/2*r5), (1+1*r5)]
[(-4-2*r5), (-11/2-5/2*r5), (3/2+3/2*r5), (6+3*r5)]
[(5+3*r5), (3+1*r5), (-3-1*r5), (7+3*r5)]
[(-6-2*r5), (4+2*r5), (7+3*r5), (1+1*r5)]
[(6+3*r5), (8+3*r5), -1, -1]
[(-7/2-3/2*r5), (-4-1*r5), (3+1*r5), (17/2+7/2*r5)]
[(5/2+3/2*r5), (5/2+1/2*r5), (-1-1*r5), (9+4*r5)]
[(-6-3*r5), (-9/2-5/2*r5), (-3/2-1/2*r5), (6+2*r5)]
[(-6-3*r5), (7/2+3/2*r5), (-5/2-3/2*r5), (-5-3*r5)]
[(-5/2-3/2*r5), (-3-1*r5), (8+3*r5), (-9/2-5/2*r5)]
[(15/2+7/2*r5), (9/2+3/2*r5), (3+2*r5), (3+1*r5)]
[(-5/2-3/2*r5), (-9/2-5/2*r5), (-7-3*r5), (-3-2*r5)]
[(-5-2*r5), (2+1*r5), (-3-2*r5), (8+3*r5)]
[(3+2*r5), (4+2*r5), (7/2+3/2*r5), (-13/2-7/2*r5)]
[-1, -1, (8+3*r5), (6+3*r5)]
[(-19/2-7/2*r5), (-2-1*r5), (-3-1*r5), (5/2+3/2*r5)]
[(13/2+7/2*r5), (-4-2*r5), (3+2*r5), (7/2+3/2*r5)]
[(-5/2-1/2*r5), (-9-4*r5), (-1-1*r5), (-5/2-3/2*r5)]
[(-4-1*r5), (-4-2*r5), (-15/2-7/2*r5), (-5/2-3/2*r5)]
[-1, (5/2+3/2*r5), (6+2*r5), (-15/2-7/2*r5)]
[(6+3*r5), (-5/2-1/2*r5), (-13/2-7/2*r5), 0]
[(7/2+3/2*r5), (4+1*r5), (3+1*r5), (-17/2-7/2*r5)]
[(-2-1*r5), -1, (-9-4*r5), (-4-1*r5)]
[(-3-1*r5), -1, (-3/2-1/2*r5), (17/2+9/2*r5)]
[(6+3*r5), (-2-1*r5), (4+1*r5), (6+3*r5)]
[(-5/2-1/2*r5), (-5/2-3/2*r5), (-9-4*r5), (-1-1*r5)]
[(-3/2-1/2*r5), (-5-2*r5), (13/2+5/2*r5), (-5-3*r5)]
[(-2-1*r5), (-11/2-5/2*r5), 2, (-15/2-7/2*r5)]
[(3/2+1/2*r5), (-3-1*r5), (-9-4*r5), (-3/2-3/2*r5)]
[(5+3*r5), (-3/2-1/2*r5), (-15/2-7/2*r5), 1]
[(-6-2*r5), (11/2+5/2*r5), (13/2+5/2*r5), -1]
[(-3-2*r5), (-5/2-3/2*r5), (7+3*r5), (-9/2-5/2*r5)]
[(-3-1*r5), (2+1*r5), (-5/2-3/2*r5), (-19/2-7/2*r5)]
[(-2-1*r5), (6+3*r5), (-4-1*r5), (6+3*r5)]
[(-8-3*r5), -1, -1, (-6-3*r5)]
[(3/2+1/2*r5), (-1-1*r5), (2+1*r5), (-17/2-9/2*r5)]
[-2, (-9-4*r5), (3/2+1/2*r5), (-7/2-3/2*r5)]
[(-5-3*r5), (-3/2-1/2*r5), (15/2+7/2*r5), -1]
[(-6-2*r5), (-1-1*r5), (-4-2*r5), (7+3*r5)]
[(-3-1*r5), (19/2+7/2*r5), (-2-1*r5), (5/2+3/2*r5)]
[(-9-4*r5), (3/2+1/2*r5), (-3-1*r5), (-3/2-3/2*r5)]
[(6+2*r5), (-4-2*r5), (-7-3*r5), (-1-1*r5)]
[(5+3*r5), (7+3*r5), (3+1*r5), (3+1*r5)]
[(3/2+1/2*r5), (7/2+3/2*r5), -2, (-9-4*r5)]
[(3/2+3/2*r5), (-11/2-5/2*r5), (6+3*r5), (-4-2*r5)]
[(7/2+3/2*r5), (3+1*r5), (-17/2-7/2*r5), (-4-1*r5)]
[(3/2+1/2*r5), (4+2*r5), 1, (19/2+7/2*r5)]
[(-2-1*r5), (-8-3*r5), (-3-2*r5), (-5-2*r5)]
[2, 0, (-7-3*r5), (-7-3*r5)]
[(-9/2-3/2*r5), (1+1*r5), (-6-3*r5), (-13/2-5/2*r5)]
[(17/2+7/2*r5), (7/2+3/2*r5), (3+1*r5), (-4-1*r5)]
[(3/2+1/2*r5), (7+3*r5), (-4-1*r5), (13/2+5/2*r5)]
[(-3-1*r5), 1, (3/2+1/2*r5), (-17/2-9/2*r5)]
[-1, (-3-2*r5), -1, (9+4*r5)]
[(-11/2-5/2*r5), (-3/2-3/2*r5), (-4-2*r5), (-6-3*r5)]
[(-6-3*r5), (7/2+3/2*r5), (5/2+3/2*r5), (-5-3*r5)]
[(-9/2-3/2*r5), (-1-1*r5), (-6-3*r5), (13/2+5/2*r5)]
[(-5/2-3/2*r5), 1, (-15/2-7/2*r5), (6+2*r5)]
[(-9/2-5/2*r5), (6+2*r5), (-3/2-1/2*r5), (6+3*r5)]
[(-5/2-3/2*r5), (15/2+7/2*r5), (-6-2*r5), -1]
[(3+1*r5), (-17/2-9/2*r5), 1, (-3/2-1/2*r5)]
[(-6-3*r5), (4+1*r5), (-6-3*r5), (-2-1*r5)]
[(15/2+7/2*r5), 2, (-11/2-5/2*r5), (2+1*r5)]
[(9/2+5/2*r5), (7+3*r5), (-5/2-3/2*r5), (-3-2*r5)]
[(9/2+3/2*r5), (13/2+5/2*r5), (1+1*r5), (6+3*r5)]
[(13/2+7/2*r5), (-3-2*r5), (7/2+3/2*r5), (-4-2*r5)]
[(-19/2-7/2*r5), (5/2+3/2*r5), (2+1*r5), (3+1*r5)]
[(-2-1*r5), (11/2+5/2*r5), (-5-3*r5), (9/2+5/2*r5)]
[(4+1*r5), (4+2*r5), (-15/2-7/2*r5), (-5/2-3/2*r5)]
[(7+3*r5), (4+2*r5), (1+1*r5), (6+2*r5)]
[(3/2+1/2*r5), (-17/2-9/2*r5), (1+1*r5), (-2-1*r5)]
[(-11/2-5/2*r5), (5+3*r5), (2+1*r5), (9/2+5/2*r5)]
[(-17/2-7/2*r5), (1+1*r5), 1, (-9/2-5/2*r5)]
[(-11/2-5/2*r5), (-5-3*r5), (2+1*r5), (-9/2-5/2*r5)]
[(6+2*r5), (8+3*r5), (-3/2-1/2*r5), (-7/2-3/2*r5)]
[(6+2*r5), (-11/2-5/2*r5), (13/2+5/2*r5), -1]
[(-15/2-7/2*r5), (-3-2*r5), (-3-1*r5), (9/2+3/2*r5)]
[(-17/2-9/2*r5), (-1-1*r5), (3/2+1/2*r5), (-2-1*r5)]
[(5+3*r5), (3/2+1/2*r5), (-13/2-5/2*r5), (5+2*r5)]
[(4+1*r5), (-6-3*r5), (-6-3*r5), (-2-1*r5)]
[(-4-2*r5), (-3-2*r5), (-13/2-7/2*r5), (-7/2-3/2*r5)]
[(3+1*r5), -1, (-13/2-7/2*r5), (-13/2-5/2*r5)]
[(11/2+5/2*r5), (2+1*r5), (15/2+7/2*r5), -2]
[(-3/2-1/2*r5), (2+1*r5), (-17/2-9/2*r5), (-1-1*r5)]
[(19/2+7/2*r5), (4+2*r5), (3/2+1/2*r5), -1]
[(6+3*r5), (-9/2-3/2*r5), (-1-1*r5), (13/2+5/2*r5)]
[(3+1*r5), (-17/2-9/2*r5), -1, (-3/2-1/2*r5)]
[(3+1*r5), (-5-3*r5), (-7-3*r5), (-3-1*r5)]
[(-13/2-5/2*r5), (-4-1*r5), (-7-3*r5), (-3/2-1/2*r5)]
[(-2-1*r5), (-8-3*r5), (3+2*r5), (-5-2*r5)]
[(-4-1*r5), (-4-2*r5), (15/2+7/2*r5), (-5/2-3/2*r5)]
[(-3-1*r5), (13/2+5/2*r5), -1, (-13/2-7/2*r5)]
[(-3-2*r5), (-5-2*r5), (-2-1*r5), (-8-3*r5)]
[(-9/2-3/2*r5), (1+1*r5), (6+3*r5), (13/2+5/2*r5)]
[(-8-3*r5), (-2-1*r5), (5+2*r5), (3+2*r5)]
[(-6-3*r5), (6+3*r5), (4+1*r5), (2+1*r5)]
[(-4-2*r5), (3+2*r5), (-13/2-7/2*r5), (-7/2-3/2*r5)]
[(-1-1*r5), (-3/2-1/2*r5), (17/2+9/2*r5), (-2-1*r5)]
[(3+1*r5), 1, (13/2+7/2*r5), (-13/2-5/2*r5)]
[(-3/2-3/2*r5), (-9-4*r5), (3+1*r5), (-3/2-1/2*r5)]
[(9+4*r5), (3/2+3/2*r5), (3/2+1/2*r5), (-3-1*r5)]
[(6+3*r5), (-6-2*r5), (9/2+5/2*r5), (3/2+1/2*r5)]
[(3+2*r5), (7+3*r5), (9/2+5/2*r5), (5/2+3/2*r5)]
[(5/2+3/2*r5), (-2-1*r5), (19/2+7/2*r5), (-3-1*r5)]
[(-1-1*r5), (-17/2-9/2*r5), (2+1*r5), (3/2+1/2*r5)]
[(3+1*r5), (-13/2-7/2*r5), (13/2+5/2*r5), 1]
[(-11/2-5/2*r5), 1, (-13/2-5/2*r5), (6+2*r5)]
[(1+1*r5), (-9/2-3/2*r5), (13/2+5/2*r5), (6+3*r5)]
[(-5/2-1/2*r5), (5/2+3/2*r5), (-9-4*r5), (1+1*r5)]
[(4+2*r5), (-6-2*r5), (-1-1*r5), (-7-3*r5)]
[(-8-3*r5), (-6-3*r5), 1, -1]
[(-11/2-5/2*r5), (-6-3*r5), (-3/2-3/2*r5), (4+2*r5)]
[(6+2*r5), (3/2+1/2*r5), (7/2+3/2*r5), (-8-3*r5)]
[(-9-4*r5), (-3/2-1/2*r5), 2, (7/2+3/2*r5)]
[(-7-3*r5), (-1-1*r5), (6+2*r5), (-4-2*r5)]
[(3+2*r5), (9/2+3/2*r5), (-3-1*r5), (-15/2-7/2*r5)]
[(-5/2-1/2*r5), (-11/2-5/2*r5), (8+3*r5), (-3-1*r5)]
[(13/2+5/2*r5), (13/2+7/2*r5), -1, (3+1*r5)]
[1, (3+2*r5), 1, (9+4*r5)]
[(8+3*r5), (-3-1*r5), (-5/2-1/2*r5), (11/2+5/2*r5)]
[(6+3*r5), (6+3*r5), (2+1*r5), (4+1*r5)]
[(4+1*r5), (-2-1*r5), (9+4*r5), -1]
[(5+3*r5), (-3-1*r5), (-3-1*r5), (-7-3*r5)]
[0, (-5-2*r5), (-17/2-7/2*r5), (-3/2-3/2*r5)]
[1, (13/2+5/2*r5), (-13/2-7/2*r5), (3+1*r5)]
[(-5-3*r5), (6+3*r5), (5/2+3/2*r5), (-7/2-3/2*r5)]
[(3/2+1/2*r5), 1, (-19/2-7/2*r5), (4+2*r5)]
[(-4-2*r5), (6+2*r5), (1+1*r5), (-7-3*r5)]
[(7/2+3/2*r5), (-3-1*r5), (17/2+7/2*r5), (4+1*r5)]
[(-5/2-3/2*r5), 1, (15/2+7/2*r5), (6+2*r5)]
[(-13/2-7/2*r5), (-3-1*r5), -1, (-13/2-5/2*r5)]
[(17/2+7/2*r5), -1, (9/2+5/2*r5), (-1-1*r5)]
[(3/2+1/2*r5), (-17/2-9/2*r5), (-1-1*r5), (2+1*r5)]
[(4+2*r5), (-7/2-3/2*r5), (-3-2*r5), (-13/2-7/2*r5)]
[(3/2+1/2*r5), (-13/2-5/2*r5), (5+3*r5), (5+2*r5)]
[(-3/2-1/2*r5), (-5-3*r5), (5+2*r5), (-13/2-5/2*r5)]
[(5+2*r5), (-5-3*r5), (-13/2-5/2*r5), (-3/2-1/2*r5)]
[(15/2+7/2*r5), (5/2+3/2*r5), (4+1*r5), (-4-2*r5)]
[(6+3*r5), (4+1*r5), (2+1*r5), (-6-3*r5)]
[(3+2*r5), -1, (-9-4*r5), 1]
[(15/2+7/2*r5), (2+1*r5), 2, (11/2+5/2*r5)]
[(-7-3*r5), 0, 2, (7+3*r5)]
[(3+2*r5), 1, 1, (-9-4*r5)]
[(13/2+7/2*r5), (5/2+1/2*r5), 0, (-6-3*r5)]
[(3/2+1/2*r5), -1, (15/2+7/2*r5), (-5-3*r5)]
[(-5-2*r5), (3/2+1/2*r5), (5+3*r5), (-13/2-5/2*r5)]
[(-7/2-3/2*r5), (-3-2*r5), (4+2*r5), (-13/2-7/2*r5)]
[2, (2+1*r5), (-11/2-5/2*r5), (15/2+7/2*r5)]
[(-19/2-7/2*r5), (2+1*r5), (-3-1*r5), (-5/2-3/2*r5)]
[(-4-2*r5), (13/2+7/2*r5), (-7/2-3/2*r5), (-3-2*r5)]
[(3+1*r5), (5/2+3/2*r5), (9/2+5/2*r5), (8+3*r5)]
[(-2-1*r5), (5+3*r5), (9/2+5/2*r5), (-11/2-5/2*r5)]
[(3+2*r5), (8+3*r5), (5+2*r5), (2+1*r5)]
[(-3-1*r5), (19/2+7/2*r5), (2+1*r5), (-5/2-3/2*r5)]
[(-13/2-5/2*r5), (-3/2-1/2*r5), (5+2*r5), (5+3*r5)]
[(-5-3*r5), (-5/2-3/2*r5), (7/2+3/2*r5), (6+3*r5)]
[(8+3*r5), (7/2+3/2*r5), (-3/2-1/2*r5), (-6-2*r5)]
[(-8-3*r5), (3+1*r5), (9/2+5/2*r5), (5/2+3/2*r5)]
[(-2-1*r5), (-1-1*r5), (-17/2-9/2*r5), (3/2+1/2*r5)]
[(-3-2*r5), (-15/2-7/2*r5), (9/2+3/2*r5), (3+1*r5)]
[(6+2*r5), 1, (11/2+5/2*r5), (13/2+5/2*r5)]
[(8+3*r5), (-11/2-5/2*r5), (-3-1*r5), (-5/2-1/2*r5)]
[(2+1*r5), (-3/2-1/2*r5), (-1-1*r5), (-17/2-9/2*r5)]
[(-13/2-5/2*r5), (6+3*r5), (-1-1*r5), (9/2+3/2*r5)]
[0, (-5/2-1/2*r5), (6+3*r5), (13/2+7/2*r5)]
[1, (9+4*r5), 1, (3+2*r5)]
[1, (11/2+5/2*r5), (6+2*r5), (-13/2-5/2*r5)]
[(4+2*r5), (-6-3*r5), (11/2+5/2*r5), (3/2+3/2*r5)]
[(8+3*r5), (-6-2*r5), (7/2+3/2*r5), (-3/2-1/2*r5)]
[(-7-3*r5), 0, (7+3*r5), -2]
[(-5-2*r5), (13/2+5/2*r5), (-3/2-1/2*r5), (5+3*r5)]
[(3/2+1/2*r5), (-7/2-3/2*r5), -2, (-9-4*r5)]
[(7/2+3/2*r5), (-13/2-7/2*r5), (-3-2*r5), (-4-2*r5)]
[1, (4+2*r5), (-19/2-7/2*r5), (-3/2-1/2*r5)]
[1, (-13/2-5/2*r5), (-11/2-5/2*r5), (-6-2*r5)]
[(9/2+3/2*r5), 0, (2+1*r5), (-19/2-7/2*r5)]
[(-5-3*r5), (-11/2-5/2*r5), (9/2+5/2*r5), (-2-1*r5)]
[-2, (7/2+3/2*r5), (-9-4*r5), (-3/2-1/2*r5)]
[(6+3*r5), (13/2+7/2*r5), 0, (-5/2-1/2*r5)]
[(-3-2*r5), (-9/2-3/2*r5), (-3-1*r5), (15/2+7/2*r5)]
[(9/2+5/2*r5), (3+1*r5), (-5/2-3/2*r5), (8+3*r5)]
[(7/2+3/2*r5), -2, (-3/2-1/2*r5), (-9-4*r5)]
[(7/2+3/2*r5), (4+2*r5), (-13/2-7/2*r5), (-3-2*r5)]
[(2+1*r5), (-6-3*r5), (-4-1*r5), (-6-3*r5)]
[(-9-4*r5), (4+1*r5), (2+1*r5), -1]
[-1, (4+2*r5), (-19/2-7/2*r5), (3/2+1/2*r5)]
[1, (-6-3*r5), 1, (8+3*r5)]
[(-4-1*r5), (-17/2-7/2*r5), (3+1*r5), (7/2+3/2*r5)]
[(-17/2-7/2*r5), (-9/2-5/2*r5), (-1-1*r5), -1]
[(-13/2-5/2*r5), (6+3*r5), (-1-1*r5), (-9/2-3/2*r5)]
[(9/2+3/2*r5), (-19/2-7/2*r5), 0, (-2-1*r5)]
[-1, (9+4*r5), (2+1*r5), (4+1*r5)]
[(1+1*r5), -1, (17/2+7/2*r5), (9/2+5/2*r5)]
[(-11/2-5/2*r5), (5+3*r5), (-2-1*r5), (9/2+5/2*r5)]
[(17/2+7/2*r5), (4+1*r5), (-7/2-3/2*r5), (3+1*r5)]
[(6+3*r5), 0, (-5/2-1/2*r5), (13/2+7/2*r5)]
[(9+4*r5), (1+1*r5), (-5/2-1/2*r5), (5/2+3/2*r5)]
[(-4-1*r5), (-7/2-3/2*r5), (17/2+7/2*r5), (-3-1*r5)]
[(-6-3*r5), (-3/2-3/2*r5), (11/2+5/2*r5), (4+2*r5)]
[(11/2+5/2*r5), (-2-1*r5), (-9/2-5/2*r5), (5+3*r5)]
[(-3-2*r5), (15/2+7/2*r5), (9/2+3/2*r5), (3+1*r5)]
[(3/2+1/2*r5), (5+2*r5), (13/2+5/2*r5), (-5-3*r5)]
[(-3-1*r5), (8+3*r5), (-11/2-5/2*r5), (-5/2-1/2*r5)]
[(3+1*r5), (5/2+1/2*r5), (-8-3*r5), (-11/2-5/2*r5)]
[(5/2+3/2*r5), (2+1*r5), (19/2+7/2*r5), (-3-1*r5)]
[(-8-3*r5), (-3-1*r5), (5/2+1/2*r5), (11/2+5/2*r5)]
[(5/2+1/2*r5), (9+4*r5), (-1-1*r5), (-5/2-3/2*r5)]
[(-2-1*r5), (1+1*r5), (-17/2-9/2*r5), (-3/2-1/2*r5)]
[(1+1*r5), (5/2+1/2*r5), (9+4*r5), (-5/2-3/2*r5)]
[(17/2+9/2*r5), (5/2+3/2*r5), 1, 0]
[(-3-1*r5), (9/2+3/2*r5), (15/2+7/2*r5), (-3-2*r5)]
